STOCK_CODE,MNEMONIC,PART_NUMBER,PN Global,ITEM_NAME,STOCK_TYPE District,CLASS,HOME_WH,UOI,ISSUING PRICE,PRICE_CODE
158279,KOMATSU,178-30-12171,178-30-12171,GUARD,S,G,UTVH,EACH,0,FP
158287,KOMATSU,178-30-12140,178-30-12140,GUARD,S,G,UTVH,EACH,0,FP
158295,KOMATSU,178-30-12150,178-30-12150,PLATE,S,G,UTVH,EACH,0,FP
158303,KOMATSU,KD1-0020-06452,KD1-0020-06452,SCREW,S,G,UTVH,EACH,0,FP
158311,NISSAN,30213-99005,30213-99005,PLATE PRESSURE,S,P,SPUT,EACH,180000,
158329,KOMATSU,702-16-52360,702-16-52360,COLLAR : SPRING,S,G,UTVH,EACH,0,
158337,KOMATSU,Duplikasi Pref,Duplikasi Pref,BUSHING,S,G,UTVH,EACH,0,FP
158345,KOMATSU,07177-07515,07177-07515,BUSHING,S,G,UTVH,EACH,0,FP
158410,KOMATSU,600-311-9330,600-311-9330,WATER SPARATOR,S,G,UTVH,EACH,0,FP
158436,KOMATSU,175-30-44231,175-30-44231,PIPE,S,G,UTVH,EACH,0,FP
158451,SCANIA,814821,814821,HEXAGON SCREW,S,G,UTVH,EACH,0,FP
158469,NSK,NJ2222C4,NJ2222C4,BEARING ROLLER,S,P,SPUT,EACH,3150000,
158485,SCANIA,815891,815891,SCREW,S,G,UTVH,EACH,8834.95,FP
158493,SCANIA,1383653,1383653,Washer,S,G,UTVH,EACH,6809.34,FP
158501,SCANIA,2021575,2021575,COMBINATION LAMP LH,S,G,UTVH,EACH,678923.36,FP
158519,SCANIA,1906552,1906552,COMBINATION LAMP LH,S,G,UTVH,EACH,496989.05,FP
158527,SCANIA,1538427,1538427,FRONT GRILLE PANEL,S,G,UTVH,EACH,0,FP
158535,SCANIA,1459144,1459144,NET,S,G,UTVH,EACH,0,FP
158543,SCANIA,1459143,1459143,NET,S,G,UTVH,EACH,638715.95,FP
158550,SCANIA,1733575,1733575,HINGE LH,S,G,UTVH,EACH,0,FP
158568,SCANIA,1733576,1733576,HINGE RH,S,G,UTVH,EACH,0,FP
158576,SCANIA,1727269,1727269,AIR SPRING,S,G,UTVH,EACH,0,FP
158584,SCANIA,1751398,1751398,CLAMP,S,G,UTVH,EACH,9708.74,FP
158600,KOMATSU,707-01-0Y020,707-01-0Y020,CYLINDER BOOM ASSY,S,G,UTVH,EACH,0,FP
158618,KOMATSU,707-01-XY040,707-01-XY040,CYLINDER ARM,S,G,UTVH,EACH,0,
158626,KOMATSU,707-01-XX250,707-01-XX250,CYLINDER BOOM ASSY,S,G,UTVH,EACH,0,
158634,KOMATSU,209-70-57260,209-70-57260,PIN,S,G,UTVH,EACH,0,FP
158642,WABCO,925 432 022 0,925 432 022 0,SPRING BRAKE,S,P,SPUT,EACH,0,FP
158816,KOMATSU,705-17-03221,705-17-03221,CARRIER,S,G,UTVH,EACH,0,FP
158840,KOMATSU,195-15-75530,195-15-75530,GASKET,S,G,UTVH,EACH,0,FP
158857,KOMATSU,195-15-71240,195-15-71240,GASKET,S,G,UTVH,EACH,0,FP
158865,KOMATSU,07000-72016,07000-72016,O-RING,S,G,UTVH,EACH,0,FP
159046,KOMATSU,113-899-7950,113-899-7950,SPACER CLIP,S,G,UTVH,EACH,0,FP
159053,KOMATSU,07094-11024,07094-11024,SPACER CLIP,S,G,UTVH,EACH,0,FP
